# x, y(x)
1.84,0.503417736413323
1.845,0.494691481679771
1.85,0.486075797785433
1.855,0.477570345800342
1.86,0.469174758470084
1.865,0.460888640926408
1.87,0.452711571400355
1.875,0.444643101937336
1.88,0.436682759113543
1.885,0.428830044753138
1.89,0.421084436645636
1.895,0.413445389262933
1.9,0.405912334475433
1.905,0.398484682266733
1.91,0.391161821446366
1.915,0.383943120360067
1.92,0.376827927597104
1.925,0.369815572694155
1.93,0.362905366835309
1.935,0.356096603547699
1.94,0.349388559392368
1.945,0.342780494649919
1.95,0.336271654000565
1.955,0.329861267198168
1.96,0.323548549737917
1.965,0.31733270351726
1.97,0.311212917489764
1.975,0.305188368311568
1.98,0.299258220980115
1.985,0.293421629464865
1.99,0.287677737329715
1.995,0.282025678346847
2,0.276464577101756
2.005,0.270993549589235
2.01,0.265611703800066
2.015,0.260318140298246
2.02,0.255111952788527
2.025,0.249992228674102
2.03,0.244958049604277
2.035,0.240008492011977
2.04,0.235142627640949
2.045,0.230359524062527
2.05,0.225658245181883
2.055,0.22103785173362
2.06,0.216497401766672
2.065,0.212035951118399
2.07,0.207652553877838
2.075,0.203346262838062
2.08,0.1991161299376
2.085,0.194961206690897
2.09,0.190880544607808
2.095,0.186873195602101
2.1,0.182938212389
2.105,0.179074648871759
2.11,0.175281560517307
2.115,0.171558004720996
2.12,0.167903041160485
2.125,0.164315732138824
2.13,0.160795142916789
2.135,0.157340342034534
2.14,0.153950401622636
2.145,0.150624397702624
2.15,0.147361410477057
2.155,0.144160524609271
2.16,0.141020829492876
2.165,0.137941419511126
2.17,0.134921394286258
2.175,0.131959858918928
2.18,0.129055924217864
2.185,0.126208706919866
2.19,0.123417329900268
2.195,0.120680922374025
2.2,0.117998620087538
2.205,0.115369565501375
2.21,0.112792907964028
2.215,0.110267803876859
2.22,0.107793416850376
2.225,0.105368917852014
2.23,0.10299348534555
2.235,0.100666305422334
2.24,0.0983865719244874
2.245,0.0961534865602235
2.25,0.0939662590114659
2.255,0.0918241070339211
2.26,0.0897262565497732
2.265,0.0876719417331656
2.27,0.0856604050886387
2.275,0.0836908975226859
2.28,0.0817626784086009
2.285,0.0798750156447795
2.29,0.0780271857066447
2.295,0.0762184736923603
2.3,0.0744481733625023
2.305,0.0727155871738508
2.31,0.0710200263074702
2.315,0.0693608106912392
2.32,0.0677372690169963
2.325,0.0661487387524622
2.33,0.0645945661480993
2.335,0.0630741062390687
2.34,0.0615867228424424
2.345,0.0601317885498288
2.35,0.0587086847155644
2.355,0.0573168014406259
2.36,0.0559555375524156
2.365,0.0546243005805671
2.37,0.0533225067289225
2.375,0.0520495808438218
2.38,0.0508049563788546
2.385,0.0495880753562093
2.39,0.048398388324763
2.395,0.0472353543150487
2.4,0.0460984407912323
2.405,0.0449871236002345
2.41,0.043900886918126
2.415,0.042839223193925
2.42,0.0418016330909196
2.425,0.0407876254256414
2.43,0.0397967171046074
2.435,0.0388284330589507
2.44,0.0378823061770514
2.445,0.0369578772352857
2.45,0.0360546948269979
2.455,0.0351723152898069
2.46,0.0343103026313499
2.465,0.0334682284535672
2.47,0.0326456718756268
2.475,0.0318422194555871
2.48,0.0310574651108925
2.485,0.0302910100377928
2.49,0.0295424626297786
2.495,0.0288114383951179
2.5,0.0280975598735789
2.505,0.0274004565524227
2.51,0.0267197647817439
2.515,0.0260551276892376
2.52,0.0254061950944679
2.525,0.0247726234227091
2.53,0.0241540756184317
2.535,0.0235502210584991
2.54,0.0229607354651428
2.545,0.0223853008187769
2.55,0.0218236052707151
2.555,0.0212753430558471
2.56,0.0207402144053334
2.565,0.0202179254593698
2.57,0.0197081881800774
2.575,0.0192107202645654
2.58,0.0187252450582171
2.585,0.0182514914682437
2.59,0.0177891938775517
2.595,0.0173380920589649
2.6,0.0168979310898419
2.605,0.0164684612671281
2.61,0.0160494380228783
2.615,0.0156406218402851
