#x,errorFunction
-1.86,-0.990610980720984
-1.85,-0.991156269905558
-1.84,-0.990784491080861
-1.83,-0.990398836668319
-1.82,-0.989998868359925
-1.81,-0.989584137361194
-1.8,-0.989154184273649
-1.79,-0.988708538981408
-1.78,-0.988246720542139
-1.77,-0.987768237082639
-1.76,-0.987272585699307
-1.75,-0.98675925236378
-1.74,-0.986227711834002
-1.73,-0.985677427571015
-1.72,-0.985107851661726
-1.71,-0.984518424747959
-1.7,-0.983908575962058
-1.69,-0.983277722869323
-1.68,-0.982625271417585
-1.67,-0.981950615894183
-1.66,-0.981253138890645
-1.65,-0.980532211275365
-1.64,-0.979787192174543
-1.63,-0.979017428961707
-1.62,-0.978222257256067
-1.61,-0.977401000930021
-1.6,-0.976552972126066
-1.59,-0.975677471283419
-1.58,-0.974773787174607
-1.57,-0.973841196952313
-1.56,-0.972878966206741
-1.55,-0.971886349033773
-1.54,-0.970862588114169
-1.53,-0.969806914804086
-1.52,-0.968718549237134
-1.51,-0.967596700438255
-1.5,-0.966440566449617
-1.49,-0.965249334468791
-1.48,-0.964022180999407
-1.47,-0.962758272014515
-1.46,-0.961456763132842
-1.45,-0.96011679980816
-1.44,-0.95873751753192
-1.43,-0.95731804204935
-1.42,-0.955857489589164
-1.41,-0.954354967107035
-1.4,-0.952809572542964
-1.39,-0.951220395092682
-1.38,-0.949586515493176
-1.37,-0.947907006322449
-1.36,-0.946180932313587
-1.35,-0.944407350683205
-1.34,-0.942585311474313
-1.33,-0.940713857913643
-1.32,-0.938792026783458
-1.31,-0.936818848807822
-1.3,-0.934793349053338
-1.29,-0.932714547344308
-1.28,-0.930172796589948
-1.27,-0.927970545532083
-1.26,-0.925711789691261
-1.25,-0.923395539856929
-1.24,-0.921020804613605
-1.23,-0.918586590864488
-1.22,-0.916091904368463
-1.21,-0.913535750290225
-1.2,-0.910917133763266
-1.19,-0.908235060465416
-1.18,-0.905488537206628
-1.17,-0.902676572528652
-1.16,-0.899798177316239
